epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2718,1.63468,2.37273,1.38161,0.97492,0.1587,0.44372,0.2512,1.49414,2.58715,1.29539,0.000546984,0.000546984,0.000546984
2,43.374,1.55328,1.419,1.3459,0.67625,0.43462,0.48052,0.2662,1.52965,1.7824,1.41869,0.00109173,0.00109173,0.00109173
3,63.8013,1.51704,1.29579,1.31769,0.4216,0.35325,0.35475,0.1747,1.87384,1.86506,1.60733,0.00162548,0.00162548,0.00162548
4,83.823,1.52658,1.25317,1.33266,0.4522,0.40832,0.40873,0.20138,1.60269,1.88926,1.44421,0.00161749,0.00161749,0.00161749
5,103.854,1.50283,1.1943,1.32345,0.63434,0.36774,0.42876,0.2223,1.74385,1.59947,1.5075,0.00160099,0.00160099,0.00160099
6,123.805,1.48528,1.13185,1.29385,0.60067,0.56647,0.58784,0.3272,1.48636,1.29804,1.35788,0.00158448,0.00158448,0.00158448
7,143.741,1.45246,1.07351,1.28153,0.55849,0.58543,0.60214,0.33931,1.45424,1.07591,1.29286,0.00156798,0.00156798,0.00156798
8,163.793,1.4368,1.05331,1.28041,0.64764,0.55755,0.60266,0.35666,1.4336,1.13606,1.33802,0.00155148,0.00155148,0.00155148
9,183.696,1.39904,1.00222,1.24833,0.67057,0.65482,0.64849,0.36297,1.46,1.23399,1.3307,0.00153497,0.00153497,0.00153497
10,203.634,1.39434,0.98628,1.25163,0.68663,0.69972,0.6992,0.38753,1.42887,0.91046,1.29699,0.00151847,0.00151847,0.00151847
11,223.551,1.3915,0.96681,1.2489,0.73934,0.6774,0.71215,0.39417,1.39806,0.96063,1.27559,0.00150197,0.00150197,0.00150197
12,243.618,1.3673,0.94783,1.23769,0.67829,0.65704,0.68211,0.39506,1.38728,0.8941,1.2674,0.00148546,0.00148546,0.00148546
13,263.363,1.3723,0.94125,1.23596,0.67139,0.615,0.65084,0.37401,1.38361,0.97523,1.26201,0.00146896,0.00146896,0.00146896
14,283.243,1.3463,0.93856,1.22658,0.67801,0.66024,0.66723,0.36846,1.4343,1.14573,1.29875,0.00145246,0.00145246,0.00145246
15,302.964,1.34118,0.92804,1.22071,0.72944,0.70976,0.74506,0.43085,1.30881,0.84497,1.21192,0.00143595,0.00143595,0.00143595
16,322.744,1.31956,0.88296,1.20804,0.6843,0.63986,0.67183,0.38703,1.46139,0.96577,1.32729,0.00141945,0.00141945,0.00141945
17,342.47,1.31187,0.86619,1.20835,0.76804,0.70295,0.73276,0.41724,1.35699,0.81449,1.26886,0.00140295,0.00140295,0.00140295
18,362.342,1.29311,0.84679,1.1958,0.77184,0.69023,0.72962,0.41794,1.33899,0.84137,1.25089,0.00138644,0.00138644,0.00138644
19,382.224,1.31009,0.85755,1.19493,0.76223,0.65011,0.71551,0.40811,1.38958,0.83478,1.23963,0.00136994,0.00136994,0.00136994
20,401.919,1.30854,0.83794,1.19199,0.73164,0.72091,0.73551,0.43141,1.31112,0.81485,1.22646,0.00135344,0.00135344,0.00135344
21,421.653,1.27505,0.83236,1.18981,0.77275,0.72957,0.7665,0.45002,1.30328,0.79916,1.22061,0.00133693,0.00133693,0.00133693
22,442.399,1.29339,0.82884,1.1792,0.69928,0.72075,0.72457,0.42619,1.32121,0.81268,1.22324,0.00132043,0.00132043,0.00132043
23,462.255,1.28406,0.82179,1.18329,0.78156,0.7401,0.7687,0.45604,1.31847,0.77039,1.20877,0.00130393,0.00130393,0.00130393
24,482.064,1.26373,0.79811,1.17174,0.81572,0.72415,0.78455,0.45603,1.30922,0.77381,1.21722,0.00128742,0.00128742,0.00128742
25,501.869,1.26878,0.80675,1.16786,0.7835,0.74489,0.77002,0.44784,1.29385,0.78199,1.20212,0.00127092,0.00127092,0.00127092
26,521.718,1.2366,0.78467,1.16168,0.7351,0.70549,0.74183,0.44393,1.2765,0.77017,1.20797,0.00125442,0.00125442,0.00125442
