epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1922,1.3892,1.98805,1.33964,0.64979,0.6114,0.6316,0.38381,1.37633,1.26465,1.35985,0.00331532,0.00331532,0.00331532
2,104.839,1.26464,1.10329,1.23983,0.71346,0.70611,0.72979,0.45012,1.19416,1.03216,1.26134,0.00661574,0.00661574,0.00661574
3,156.7,1.31044,1.07896,1.24355,0.6861,0.64122,0.67791,0.40269,1.36726,1.31312,1.36781,0.00988316,0.00988316,0.00988316
4,208.327,1.35128,1.08739,1.26686,0.70046,0.56594,0.63182,0.36695,1.43005,1.27563,1.38457,0.0098515,0.0098515,0.0098515
5,258.486,1.31999,1.00746,1.23948,0.73868,0.65448,0.6958,0.41795,1.33563,1.0803,1.29274,0.009802,0.009802,0.009802
6,308.351,1.27575,0.9487,1.22078,0.76473,0.76747,0.78568,0.47668,1.23496,0.89941,1.2514,0.0097525,0.0097525,0.0097525
7,358.095,1.26546,0.90497,1.20356,0.76002,0.70639,0.76355,0.47354,1.24531,0.88904,1.24263,0.009703,0.009703,0.009703
8,406.895,1.22999,0.87205,1.1886,0.81127,0.7619,0.81542,0.50152,1.21819,0.81414,1.2158,0.0096535,0.0096535,0.0096535
9,456.639,1.21192,0.84465,1.18046,0.8392,0.74694,0.81322,0.50138,1.22529,0.82402,1.23435,0.009604,0.009604,0.009604
10,505.88,1.1889,0.82089,1.16773,0.83076,0.75242,0.81652,0.52234,1.17948,0.78287,1.2051,0.0095545,0.0095545,0.0095545
11,555.521,1.18055,0.79687,1.16457,0.83667,0.77034,0.83073,0.52206,1.18142,0.76509,1.1905,0.009505,0.009505,0.009505
12,603.9,1.17746,0.78951,1.1635,0.84583,0.79134,0.84445,0.53866,1.16542,0.72955,1.18211,0.0094555,0.0094555,0.0094555
13,653.728,1.1527,0.75842,1.14689,0.88567,0.81219,0.87947,0.56312,1.14734,0.69946,1.16746,0.009406,0.009406,0.009406
14,702.914,1.15786,0.76358,1.15088,0.83564,0.81161,0.857,0.54206,1.14792,0.71171,1.17852,0.0093565,0.0093565,0.0093565
15,752.656,1.14753,0.74389,1.14912,0.86887,0.80803,0.86338,0.54545,1.1623,0.67537,1.17927,0.009307,0.009307,0.009307
16,801.831,1.1343,0.73134,1.14177,0.88971,0.82577,0.88592,0.56372,1.13261,0.6702,1.16211,0.0092575,0.0092575,0.0092575
17,851.106,1.12832,0.7307,1.13677,0.87762,0.83139,0.89006,0.57091,1.09982,0.67413,1.15274,0.009208,0.009208,0.009208
18,901.084,1.12372,0.71256,1.13129,0.89224,0.83049,0.88698,0.57507,1.10008,0.65311,1.15664,0.0091585,0.0091585,0.0091585
19,950.789,1.11999,0.71419,1.13349,0.88389,0.84641,0.90305,0.5886,1.07642,0.64372,1.13618,0.009109,0.009109,0.009109
20,999.882,1.10622,0.70834,1.12769,0.90589,0.85201,0.91527,0.58727,1.1045,0.627,1.14024,0.0090595,0.0090595,0.0090595
21,1048.88,1.09525,0.688,1.11792,0.90453,0.86841,0.91084,0.5963,1.08826,0.60663,1.13941,0.00901,0.00901,0.00901
22,1099.53,1.09686,0.68571,1.1215,0.9054,0.87339,0.91664,0.59071,1.09201,0.61907,1.13018,0.0089605,0.0089605,0.0089605
23,1149.33,1.09361,0.67773,1.11859,0.9159,0.87117,0.92198,0.60476,1.07445,0.59541,1.12646,0.008911,0.008911,0.008911
24,1199.22,1.09184,0.68426,1.11416,0.89851,0.86207,0.91029,0.60162,1.07968,0.60735,1.13063,0.0088615,0.0088615,0.0088615
25,1248.75,1.07563,0.66751,1.10802,0.90034,0.84443,0.90959,0.60191,1.07415,0.60061,1.12947,0.008812,0.008812,0.008812
26,1298.57,1.07412,0.6677,1.10624,0.90411,0.85865,0.9167,0.60595,1.06581,0.58972,1.121,0.0087625,0.0087625,0.0087625
27,1347.03,1.08686,0.66791,1.11433,0.90537,0.83627,0.89751,0.58157,1.11384,0.63271,1.13852,0.008713,0.008713,0.008713
28,1396.66,1.07422,0.66177,1.10336,0.9063,0.86291,0.9145,0.60135,1.08111,0.59486,1.12026,0.0086635,0.0086635,0.0086635
29,1445.92,1.08053,0.66635,1.1101,0.90789,0.87812,0.9263,0.61972,1.05147,0.57112,1.11758,0.008614,0.008614,0.008614
30,1495.25,1.06593,0.64607,1.10429,0.91055,0.87167,0.91509,0.59791,1.07639,0.58443,1.13002,0.0085645,0.0085645,0.0085645
31,1544.86,1.05666,0.63949,1.09665,0.92506,0.86315,0.9212,0.61294,1.07373,0.58581,1.12497,0.008515,0.008515,0.008515
32,1593.91,1.06258,0.64326,1.0996,0.89734,0.866,0.91588,0.60638,1.05665,0.58745,1.11832,0.0084655,0.0084655,0.0084655
33,1643.4,1.05468,0.64146,1.09847,0.91912,0.87592,0.9282,0.61849,1.04549,0.567,1.11019,0.008416,0.008416,0.008416
34,1692.75,1.04708,0.63651,1.09558,0.90379,0.8787,0.92556,0.6125,1.05407,0.57473,1.12055,0.0083665,0.0083665,0.0083665
35,1742.39,1.04913,0.62995,1.09509,0.9296,0.87316,0.93257,0.61874,1.03998,0.56342,1.11548,0.008317,0.008317,0.008317
